Initial_Price,Final_Price,Win_Flag,Mac_Flag,Linux_Flag,Positive_Reviews,Negative_Reviews,Memory_MB,Storage_MB,target
219.0,219.0,True,True,False,57.0,10.0,2048,1024,1
0.0,0.0,True,False,False,48.0,8.0,8192,480,1
200.0,200.0,True,False,False,933.0,101.0,2048,500,1
52.0,52.0,True,False,False,3177.0,329.0,1024,180,1
0.0,0.0,True,False,False,11.0,11.0,8192,10240,0
880.0,176.0,True,False,False,121.0,76.0,8192,9216,0
125.0,42.0,True,False,False,22.0,14.0,512,256,0
199.0,199.0,True,False,False,431.0,45.0,512,50,1
52.0,52.0,True,False,False,19.0,22.0,5120,6144,0
479.0,479.0,True,True,True,104.0,11.0,512,340,1
85.0,85.0,True,False,False,156.0,10.0,2048,512,1
125.0,125.0,True,False,False,18.0,2.0,2048,170,1
570.0,570.0,True,False,True,51.0,2.0,1024,3072,1
569.0,569.0,True,False,False,10.0,6.0,4096,3072,0
250.0,250.0,True,True,True,14.0,19.0,4096,3072,-1
0.0,0.0,True,False,False,178.0,299.0,8192,3072,-1
0.0,0.0,True,False,False,37.0,28.0,16384,5120,0
299.0,299.0,True,True,True,609.0,39.0,1024,300,1
200.0,200.0,True,True,True,101.0,20.0,2048,350,1
349.0,349.0,True,False,False,49.0,11.0,8192,4096,1
329.0,329.0,True,True,True,174.0,34.0,512,216,1
565.0,565.0,True,False,True,661.0,299.0,2048,5120,0
0.0,0.0,True,False,False,59.0,18.0,16384,9216,1
349.0,349.0,True,False,False,12.0,5.0,4096,3072,1
155.0,155.0,True,False,False,198.0,7.0,1024,100,1
199.0,199.0,True,False,False,68.0,6.0,2048,300,1
169.0,55.0,True,True,True,2069.0,264.0,4096,250,1
2929.0,2929.0,True,False,False,66.0,40.0,4096,8192,0
690.0,690.0,True,False,False,70.0,90.0,8192,30720,0
0.0,0.0,True,False,False,25562.0,8246.0,8192,40960,1
0.0,0.0,True,False,False,65.0,27.0,4096,600,1
165.0,165.0,True,False,False,79.0,2.0,1024,200,1
730.0,730.0,True,True,False,30.0,21.0,512,200,0
199.0,199.0,True,False,False,2583.0,677.0,4096,2000,1
199.0,199.0,True,False,False,96.0,61.0,1024,450,0
329.0,329.0,True,False,False,23.0,5.0,4096,3072,1
105.0,105.0,True,False,False,324.0,51.0,512,250,1
165.0,165.0,True,True,False,8.0,4.0,512,450,0
105.0,105.0,True,False,False,33.0,9.0,8192,1024,1
52.0,52.0,True,False,False,90.0,64.0,2048,1800,0
299.0,299.0,True,True,False,19.0,6.0,4096,300,1
0.0,0.0,True,True,True,188.0,24.0,4096,300,1
105.0,105.0,True,False,False,48.0,8.0,2048,2048,1
2199.0,2199.0,True,False,False,111.0,5.0,8192,8192,1
459.0,459.0,True,True,True,13.0,0.0,512,300,1
0.0,0.0,True,False,False,11.0,8.0,8192,220,0
529.0,529.0,True,False,False,59.0,3.0,8192,3072,1
52.0,52.0,True,False,True,10.0,6.0,4096,200,1
880.0,880.0,True,True,True,212.0,15.0,4096,1500,1
349.0,349.0,True,False,False,49.0,14.0,2048,4096,1
569.0,569.0,True,True,False,3759.0,1441.0,8192,30720,1
218.0,218.0,True,False,False,105.0,64.0,8,3,0
155.0,155.0,True,False,False,86.0,36.0,2048,600,1
